This is a listing of tables and columns in the SEAD database in the form of a (semicolon seperated) CSV file. Note that all FKs (i.e. columns where is_sk equals YES) with name xyz_id references table tbl_xyz (plural form of tbl_xyz) having PK  (is_pk equals YES) xyz_id. All columns ending with "_id" are integers, starting with "is_" is boolean. Other columns you can treat as text (unless other type is ovious). It's an archealogical database. Could you suggest an ontology, with most significant entities, and create a proposed OBDA model?

```tsv
schema_name	entity_name	table_name	column_name	comment	is_pk	is_fk
public		tbl_age_types	description	Detailed explanation of the chronological system denoted by the abbreviation.	NO	NO
public	Age Type	tbl_age_types		Provides a reference for different chronological systems used to denote years, such as AD, BC, and BP.		
public		tbl_age_types	age_type_id	Primary key (automatically incremented).	YES	NO
public		tbl_alt_ref_types	alt_ref_type	The name or type of the alternative reference assigned to a sample.	NO	NO
public	Alternative Reference Type	tbl_alt_ref_types		Defines the types of alternative references or names assigned to samples. These references might include identifiers like lab numbers, field numbers, museum numbers, or site excavation numbers, indicating the origin or purpose of the sample's alternative reference.		
public		tbl_alt_ref_types	alt_ref_type_id	Primary key (automatically incremented).	YES	NO
public		tbl_alt_ref_types	description	A detailed description of the alternative reference type, providing additional context or clarification.	NO	NO
public		tbl_analysis_boolean_values	analysis_value_id	Identifies the specific analysis value associated with this data.	NO	YES
public		tbl_analysis_boolean_values	qualifier	Additional information qualifying the value.	NO	NO
public	Analysis Boolean Value	tbl_analysis_boolean_values		Stores analysis values that represent a boolean (true/false) condition.		
public		tbl_analysis_boolean_values	analysis_boolean_value_id	Primary key (automatically incremented).	YES	NO
public		tbl_analysis_boolean_values	value	The boolean value (e.g., true/false or 1/0).	NO	NO
public		tbl_analysis_categorical_values	analysis_value_id	Identifies the specific analysis value associated with this data.	NO	YES
public		tbl_analysis_categorical_values	is_variant	Indicates if value is an alternative interpretation of analysed value.	NO	NO
public	Analysis Categorical Value	tbl_analysis_categorical_values		Storage for analysis values that represents a categorical value.		
public		tbl_analysis_categorical_values	analysis_categorical_value_id	Primary key (automatically incremented).	YES	NO
public		tbl_analysis_categorical_values	value	The categorical value assigned to the analysis.	NO	NO
public		tbl_analysis_categorical_values	value_type_item_id	References the predefined category type.	NO	YES
public		tbl_analysis_dating_ranges	age_type_id	Specifies the chronological system (e.g., AD, BC, BP).	NO	YES
public		tbl_analysis_dating_ranges	analysis_value_id	Identifies the specific analysis value associated with this data.	NO	YES
public		tbl_analysis_dating_ranges	dating_uncertainty_id	Specifies the uncertainty category related to the dating method used.	NO	YES
public		tbl_analysis_dating_ranges	high_is_uncertain	Indicates if higher value is uncertain (e.g. question mark).	NO	NO
public		tbl_analysis_dating_ranges	high_qualifier	Additional information qualifying the higher value.	NO	YES
public		tbl_analysis_dating_ranges	high_value	The higher value of the range.	NO	NO
public		tbl_analysis_dating_ranges	is_variant	Indicates if value is an alternative interpretation of analysed value.	NO	NO
public		tbl_analysis_dating_ranges	low_is_uncertain	Indicates if lower value is uncertain (e.g. question mark).	NO	NO
public		tbl_analysis_dating_ranges	low_qualifier	Additional information qualifying the lower value.	NO	YES
public		tbl_analysis_dating_ranges	low_value	The lower value of the range.	NO	NO
public		tbl_analysis_dating_ranges	season_id	Limits the dating range to a particular season.	NO	YES
public	Analysis Dating Range	tbl_analysis_dating_ranges		Storage for analysis values that represents a dating range.		
public		tbl_analysis_dating_ranges	analysis_dating_range_id	Primary key (automatically incremented).	YES	NO
public	Analysis Entity	tbl_analysis_entities		Represents analysis entities, which are virtual constructs allowing the association of multiple proxies with a single physical sample. This enables the linking of physical samples to various measurements or counts across different methods. Analysis Entities are organized by datasets, which are constructed based on proxy requirements. Refer to the 'Dataset' documentation for more details.		
public		tbl_analysis_entities	analysis_entity_id	Primary key (automatically incremented).	YES	NO
public		tbl_analysis_entities	dataset_id	Specifies the dataset the analysis entity belongs to.	NO	YES
public		tbl_analysis_entities	physical_sample_id	Identifies the specific physical sample.	NO	YES
public		tbl_analysis_entity_ages	age	Represents the estimated age derived from analysis.	NO	NO
public		tbl_analysis_entity_ages	age_older	The upper bound of the age range estimate.	NO	NO
public		tbl_analysis_entity_ages	age_range	The range as a tyed (int4range) value.	NO	NO
public		tbl_analysis_entity_ages	age_younger	The lower bound of the age range estimate.	NO	NO
public		tbl_analysis_entity_ages	analysis_entity_id	Identifies the specific analysis entity associated with this record.	NO	YES
public		tbl_analysis_entity_ages	chronology_id	Specifies the the identifier of a specific chronology.	NO	YES
public		tbl_analysis_entity_ages	dating_specifier	Specifies the method or criteria used for dating the sample.	NO	NO
public	Analysis Entity Age	tbl_analysis_entity_ages		Represents a virtual entity that defines a single proxy within a specific physical sample, acting as a statistical sample. A physical sample can contain multiple analysis entities, each linking various proxies. This structure facilitates the precise recording of specific species used in methods like radiocarbon dating.		
public		tbl_analysis_entity_ages	analysis_entity_age_id	Primary key (automatically incremented).	YES	NO
public		tbl_analysis_entity_dimensions	analysis_entity_id	Identifies the specific analysis entity associated with this record.	NO	YES
public		tbl_analysis_entity_dimensions	dimension_id	Specifies the specific dimension being measured  (e.g., length, width, height)..	NO	YES
public		tbl_analysis_entity_dimensions	dimension_value	The quantified value of the measured dimension.	NO	NO
public	Analysis Entity Dimension	tbl_analysis_entity_dimensions		Contains information about the physical dimensions of samples used for analysis, including both analyzed samples and non-analyzed residues.		
public		tbl_analysis_entity_dimensions	analysis_entity_dimension_id	Primary key (automatically incremented).	YES	NO
public		tbl_analysis_entity_prep_methods	analysis_entity_id	Identifies the specific analysis entity associated with this record.	NO	YES
public	Analysis Entity Preparation Method	tbl_analysis_entity_prep_methods		Links analysis entities with their respective preparation methods.		
public		tbl_analysis_entity_prep_methods	analysis_entity_prep_method_id	Primary key (automatically incremented).	YES	NO
public		tbl_analysis_entity_prep_methods	method_id	Specifies the preparation method related to the analysis entity.	NO	YES
public		tbl_analysis_identifiers	analysis_value_id	Identifies the specific analysis value associated with this data.	NO	YES
public	Analysis Identifier	tbl_analysis_identifiers		Storage for identifiers associated to analysis values, or analysis value that represents an identifier.		
public		tbl_analysis_identifiers	analysis_identifier_id	Primary key (automatically incremented).	YES	NO
public		tbl_analysis_identifiers	value	The identifier value.	NO	NO
public		tbl_analysis_integer_ranges	analysis_value_id	Identifies the specific analysis value associated with this data.	NO	YES
public		tbl_analysis_integer_ranges	high_is_uncertain	Indicates if higher value is uncertain (e.g. question mark).	NO	NO
public		tbl_analysis_integer_ranges	high_qualifier	Additional information qualifying the higher value.	NO	YES
public		tbl_analysis_integer_ranges	high_value	The higher value of the analysis.	NO	NO
public		tbl_analysis_integer_ranges	is_variant	Indicates if value is an alternative interpretation of analysed value.	NO	NO
public		tbl_analysis_integer_ranges	low_is_uncertain	Indicates if lower value is uncertain (e.g. question mark).	NO	NO
public		tbl_analysis_integer_ranges	low_qualifier	Additional information qualifying the lower value.	NO	YES
public		tbl_analysis_integer_ranges	low_value	The lower value of the analysis.	NO	NO
public	Analysis Integer Range	tbl_analysis_integer_ranges		Storage for analysis values that represents an integer range.		
public		tbl_analysis_integer_ranges	analysis_integer_range_id	Primary key (automatically incremented).	YES	NO
public		tbl_analysis_integer_values	analysis_value_id	Identifies the specific analysis value associated with this data.	NO	YES
public		tbl_analysis_integer_values	is_variant	Indicates if value is an alternative interpretation of analysed value.	NO	NO
public		tbl_analysis_integer_values	qualifier	Additional information qualifying the value.	NO	YES
public	Analysis Integer Value	tbl_analysis_integer_values		Storage for analysis values that represents an integer value.		
public		tbl_analysis_integer_values	analysis_integer_value_id	Primary key (automatically incremented).	YES	NO
public		tbl_analysis_integer_values	value	The analysed value interpretated as an integer value.	NO	NO
public		tbl_analysis_notes	analysis_value_id	Identifies the specific analysis value associated with this data.	NO	YES
public	Analysis Note	tbl_analysis_notes		Storage for notes associated to an analysis value.		
public		tbl_analysis_notes	analysis_note_id	Primary key (automatically incremented).	YES	NO
public		tbl_analysis_notes	value	The actal note.	NO	NO
public		tbl_analysis_numerical_ranges	analysis_value_id	Identifies the specific analysis value associated with this data.	NO	YES
public		tbl_analysis_numerical_ranges	high_is_uncertain	Indicates if higher value is uncertain (e.g. question mark).	NO	NO
public		tbl_analysis_numerical_ranges	high_qualifier	Additional information qualifying the higher value.	NO	YES
public		tbl_analysis_numerical_ranges	is_variant	Indicates if value is an alternative interpretation of analysed value.	NO	NO
public		tbl_analysis_numerical_ranges	low_is_uncertain	Indicates if lower value is uncertain (e.g. question mark).	NO	NO
public		tbl_analysis_numerical_ranges	low_qualifier	Additional information qualifying the lower value.	NO	YES
public	Analysis Numerical Range	tbl_analysis_numerical_ranges		Storage for analysis values that represents a numerical range.		
public		tbl_analysis_numerical_ranges	analysis_numerical_range_id	Primary key (automatically incremented).	YES	NO
public		tbl_analysis_numerical_ranges	value	The analysed value interpretated as a numerical (decimal) range.	NO	NO
public		tbl_analysis_numerical_values	analysis_value_id	Identifies the specific analysis value associated with this data.	NO	YES
public		tbl_analysis_numerical_values	is_variant	Indicates if value is an alternative interpretation of analysed value.	NO	NO
public		tbl_analysis_numerical_values	qualifier	Additional information qualifying the value.	NO	YES
public	Analysis Numerical Value	tbl_analysis_numerical_values		Storage for analysis values that represents a numerical.		
public		tbl_analysis_numerical_values	analysis_numerical_value_id	Primary key (automatically incremented).	YES	NO
public		tbl_analysis_numerical_values	value	The analysed value interpretated as a numerical (decimal) value.	NO	NO
public		tbl_analysis_taxon_counts	analysis_value_id	Identifies the specific analysis value associated with this data.	NO	YES
public		tbl_analysis_taxon_counts	taxon_id	Specifies the taxonomic unit related to this record.	NO	YES
public	Analysis Taxon Count	tbl_analysis_taxon_counts		Storage for analysis values that represents a taxon counts.		
public		tbl_analysis_taxon_counts	analysis_taxon_count_id	Primary key (automatically incremented).	YES	NO
public		tbl_analysis_taxon_counts	value	The count of specified taxon.	NO	NO
public		tbl_analysis_value_dimensions	analysis_value_id	Identifies the specific analysis value associated with this data.	NO	YES
public		tbl_analysis_value_dimensions	dimension_id	Specifies the specific dimension being measured  (e.g., length, width, height)..	NO	YES
public	Analysis Value Dimension	tbl_analysis_value_dimensions		Storage for dimension of analysis value.		
public		tbl_analysis_value_dimensions	analysis_value_dimension_id	Primary key (automatically incremented).	YES	NO
public		tbl_analysis_value_dimensions	value	The value of specified dimension.	NO	NO
public		tbl_analysis_values	analysis_entity_id	Identifies the specific analysis entity associated with this record.	NO	YES
public		tbl_analysis_values	analysis_value	The resulting value from the analysis (untyped as a string)	NO	NO
public		tbl_analysis_values	boolean_value	Boolean (true/false) interpretation of the value (is is_boolean is true).	NO	NO
public		tbl_analysis_values	is_anomaly	Indicates if value is an anomaly i.e. not complying to expected value class.	NO	NO
public		tbl_analysis_values	is_boolean	Indicates if value is a boolean value.	NO	NO
public		tbl_analysis_values	is_indeterminable	Indicates if result of analysis is indeterminable.	NO	NO
public		tbl_analysis_values	is_not_analyzed	Indicates that no analysis was made.	NO	NO
public		tbl_analysis_values	is_uncertain	Indicates if resulting value of analysis is uncertain.	NO	NO
public		tbl_analysis_values	is_undefined	Indicates if resulting value is undefined.	NO	NO
public	Analysis Value	tbl_analysis_values		Stores results from an analysis as a (untyped) string value.		
public		tbl_analysis_values	analysis_value_id	Primary key (automatically incremented).	YES	NO
public		tbl_analysis_values	value_class_id	Reference to associated value class that specifies kind of analysis value.	NO	YES
public		tbl_biblio	authors	Formatted list of authors for the bibliographic entry, adhering to citation standards.	NO	NO
public		tbl_biblio	bugs_reference	Identifier linking this entry to the BugsCEP database or other related datasets.	NO	NO
public		tbl_biblio	doi	Digital Object Identifier providing a stable, unique reference for digital content.	NO	NO
public		tbl_biblio	full_reference	Complete citation including all necessary details such as author, title, publication date, and publisher.	NO	NO
public	Bibliographic Reference	tbl_biblio		Central repository for storing bibliographic references in the SEAD database. It stores detailed citations, including author, title, year, publisher, and DOI/URL for various sources such as books and articles. This table connects to domain-specific tables via foreign keys, ensuring data integrity and supporting research by centralizing bibliographic information.		
public		tbl_biblio	biblio_id	Primary key (automatically incremented).	YES	NO
public		tbl_biblio	isbn	International Standard Book Number (ISBN) for cataloging and tracking books.	NO	NO
public		tbl_biblio	notes	Additional anlabels or comments related to the bibliographic entry.	NO	NO
public		tbl_biblio	title	Title of the referenced work.	NO	NO
public		tbl_biblio	url	Online link to the bibliographic resource, if available.	NO	NO
public		tbl_biblio	year	Year the referenced work was published.	NO	NO
public		tbl_ceramics	analysis_entity_id	Identifies the specific analysis entity associated with this record.	NO	YES
public		tbl_ceramics	ceramics_lookup_id	Specifies the detailed ceramic type or classification information.	NO	YES
public	Ceramic Analysis	tbl_ceramics		Stores analysis results from ceramic thin-sections and sherds.		
public		tbl_ceramics	ceramics_id	Primary key (automatically incremented).	YES	NO
public		tbl_ceramics	measurement_value	Numeric value representing the measurement obtained from the ceramic analysis.	NO	NO
public		tbl_ceramics_lookup	description	Detailed description of the ceramic type.	NO	NO
public	Ceramic Lookup	tbl_ceramics_lookup		Serves as a reference for ceramic types and their associated details.		
public		tbl_ceramics_lookup	ceramics_lookup_id	Primary key (automatically incremented).	YES	NO
public		tbl_ceramics_lookup	method_id	Specifies the method used to classify the ceramic type.	NO	YES
public		tbl_ceramics_lookup	name	Name of the ceramic type.	NO	NO
public	Ceramic Analysis Measurement	tbl_ceramics_measurements		Contains measurements from ceramic analysis processes.		
public		tbl_ceramics_measurements	ceramics_measurement_id	Primary key (automatically incremented).	YES	NO
public		tbl_ceramics_measurements	method_id	Specifies the method used for the ceramic analysis.	NO	YES
public		tbl_chronologies	age_model	The methodology or model applied to determine the ages of samples within this chronology.	NO	NO
public		tbl_chronologies	chronology_name	A descriptive title for the chronology, indicating its purpose and extent.	NO	NO
public		tbl_chronologies	contact_id	Identifies the contact person or organization for the chronology.	NO	YES
public		tbl_chronologies	date_prepared	The date the chronology was initially created or most recently updated.	NO	NO
public	Chronology	tbl_chronologies		Represents a collection of dated samples grouped for specific purposes, such as assigning a unified age range to samples in a master dataset or developing an age-depth model for a lake. These chronologies may also be used to integrate with external services that limit the scope of dating evidence, such as GBIF or SBDI.		
public		tbl_chronologies	chronology_id	Primary key (automatically incremented).	YES	NO
public		tbl_chronologies	notes	Supplementary information or anlabels related to the chronology, including data sources, assumptions, or constraints.	NO	NO
public		tbl_chronologies	relative_age_type_id	This was previously constrained by the obsolete tbl_age_types table. Now, it serves as a non-binding reference to relative_age_types, although not fully implemented. Relevant notes should document year types and construction methods for the chronology.	NO	NO
public		tbl_colours	colour_name	Descriptive name of the colour.	NO	NO
public	Colour	tbl_colours		Contains the names and definitions of colours as classified by specific methods or colour spaces, such as Munsell or 2.5YR.		
public		tbl_colours	colour_id	Primary key (automatically incremented).	YES	NO
public		tbl_colours	method_id	Specifies the method or colour space used for classification.	NO	YES
public		tbl_colours	rgb	RGB value representing the colour in the RGB colour model.	NO	NO
public		tbl_contact_types	contact_type_name	Name of the contact type, representing the role or function (e.g., researcher, laboratory, field technician).	NO	NO
public	Contact Type	tbl_contact_types		Specifies various contact types, categorizing them by their roles or functions such as laboratory, sample taker, or dataset creator. This categorization aids in linking contacts to their respective roles within the system.		
public		tbl_contact_types	contact_type_id	Primary key (automatically incremented).	YES	NO
public		tbl_contact_types	description	Comprehensive description of the contact type, detailing its role within the system.	NO	NO
public		tbl_contacts	address_1	Primary address, such as a street or institutional address.	NO	NO
public		tbl_contacts	address_2	Supplementary address information, such as an apartment or suite number.	NO	NO
public		tbl_contacts	email	Email address for contact communication.	NO	NO
public		tbl_contacts	first_name	Given name of the contact.	NO	NO
public		tbl_contacts	last_name	Surname of the contact.	NO	NO
public		tbl_contacts	location_id	Specifies to a location, associating the contact with a specific geographic or organizational location.	NO	YES
public		tbl_contacts	phone_number	Contact's phone number for direct communication.	NO	NO
public	Contact	tbl_contacts		Contains contact information for various roles, such as dataset authors, specimen identifiers, and laboratory managers.		
public		tbl_contacts	contact_id	Primary key (automatically incremented).	YES	NO
public		tbl_contacts	url	Associated website or online profile link.	NO	NO
public		tbl_coordinate_method_dimensions	dimension_id	Specifies the specific dimension being measured  (e.g., length, width, height)..	NO	YES
public		tbl_coordinate_method_dimensions	limit_lower	Specifies the lower bound of the legal value range for the dimension, if applicable.	NO	NO
public		tbl_coordinate_method_dimensions	limit_upper	Specifies the upper bound of the legal value range for the dimension, if applicable.	NO	NO
public		tbl_coordinate_method_dimensions	method_id	Specifies the coordinate system method to which the dimension applies.	NO	YES
public	Coordinate Method Dimension	tbl_coordinate_method_dimensions		Defines the dimensions applicable to each coordinate system method and specifies any legal values for these dimensions. Each entry associates a coordinate system method with its corresponding dimensions and their permissible value ranges.		
public		tbl_coordinate_method_dimensions	coordinate_method_dimension_id	Primary key (automatically incremented).	YES	NO
public	Data Type Group	tbl_data_type_groups		Contains classifications for various data types, such as relative scale and semi-quantitative.		
public		tbl_data_type_groups	data_type_group_id	Primary key (automatically incremented).	YES	NO
public		tbl_data_type_groups	data_type_group_name	Name of the data type group.	NO	NO
public		tbl_data_type_groups	description	Detailed information about the data type group.	NO	NO
public	Data Type	tbl_data_types		Specifies the types of quantification methods used in datasets, including definitions of each classification system.		
public		tbl_data_types	data_type_id	Primary key (automatically incremented).	YES	NO
public		tbl_data_types	data_type_group_id	Specifies the group to which this data type belongs.	NO	YES
public		tbl_data_types	data_type_name	The name of the data type, providing a descriptive label.	NO	NO
public		tbl_data_types	definition	A detailed explanation or description of the data type.	NO	NO
public		tbl_dataset_contacts	contact_id	Identifies the contact person or organization related to the dataset.	NO	YES
public		tbl_dataset_contacts	contact_type_id	Specifies the type of contact, such as provider or digitaliser.	NO	YES
public		tbl_dataset_contacts	dataset_id	Specifies the dataset the contact is related to.	NO	YES
public	Dataset Contact	tbl_dataset_contacts		Contains information about one or more contacts related to a dataset, such as data providers or digitalisers.		
public		tbl_dataset_contacts	dataset_contact_id	Primary key (automatically incremented).	YES	NO
public		tbl_dataset_masters	biblio_id	Specifies the primary literature or reference related to the master dataset (e.g., Buckland & Buckland 2006 for BugsCEP).	NO	YES
public		tbl_dataset_masters	contact_id	Identifies the contact person or organization responsible for the master dataset.	NO	YES
public	Master Dataset	tbl_dataset_masters		Represents a major grouping identifier for datasets, typically indicating a contributing database, project, user, or laboratory (e.g., BugsCEP, MAL, Lund Dendro Lab).		
public		tbl_dataset_masters	master_set_id	Primary key (automatically incremented).	YES	NO
public		tbl_dataset_masters	master_name	Name or title assigned to the master dataset (e.g., MAL, BugsCEP, DendroLab).	NO	NO
public		tbl_dataset_masters	master_notes	Detailed description of the master dataset, including its nature (e.g., database, lab) and any pertinent tracking information.	NO	NO
public		tbl_dataset_masters	url	Web address or URL related to the master dataset, which could be a project, lab, or other entity.	NO	NO
public		tbl_dataset_submission_types	description	A detailed explanation of the dataset submission type, describing the method of data ingestion.	NO	NO
public	Dataset Submission Type	tbl_dataset_submission_types		Serves as a lookup for different types of dataset submissions, such as original submissions or data ingested from external databases.		
public		tbl_dataset_submission_types	submission_type_id	Primary key (automatically incremented).	YES	NO
public		tbl_dataset_submission_types	submission_type	A concise name showing the type of dataset submission (e.g., 'Original Submission', 'Ingestion from External Database').	NO	NO
public		tbl_dataset_submissions	contact_id	Identifies the contact person or organization responsible for the dataset submission.	NO	YES
public		tbl_dataset_submissions	dataset_id	Specifies the dataset related to the submission.	NO	YES
public		tbl_dataset_submissions	date_submitted	The timestamp indicating when the submission was completed.	NO	NO
public	Dataset Submission	tbl_dataset_submissions		Contains records of various submission events related to a dataset, such as initial recording, database entries, and integrations with SEAD.		
public		tbl_dataset_submissions	dataset_submission_id	Primary key (automatically incremented).	YES	NO
public		tbl_dataset_submissions	notes	Contains supplementary information regarding the submission, such as its origin if not documented elsewhere (e.g., BugsCEP).	NO	NO
public		tbl_dataset_submissions	submission_type_id	Specifies the type or category of the submission event.	NO	YES
public		tbl_datasets	biblio_id	Specifies the publication that describes or mentions the dataset.	NO	YES
public		tbl_datasets	data_type_id	Specifies the type of data contained in the dataset.	NO	YES
public		tbl_datasets	dataset_name	A unique identifier for the dataset at this site, potentially matching the sample group name or created for clarity and context.	NO	NO
public	Dataset	tbl_datasets		Organizes collections of analysis entities into datasets, which are structured collections relevant to the specific proxy being studied. For biological proxies, a dataset typically corresponds to a spreadsheet containing samples and taxa for a single analysis method, such as phosphates through citric acid extraction.		
public		tbl_datasets	dataset_id	Primary key (automatically incremented).	YES	NO
public		tbl_datasets	master_set_id	Specifies the master set to which this dataset belongs.	NO	YES
public		tbl_datasets	method_id	Specifies the method of analysis used for this dataset.	NO	YES
public		tbl_datasets	project_id	Specifies the project related to this dataset.	NO	YES
public		tbl_datasets	updated_dataset_id	Specifies any subsequent version of this dataset.	NO	YES
public		tbl_dating_labs	contact_id	Identifies the contact person or organization related to the dating lab.	NO	YES
public		tbl_dating_labs	country_id	Specifies the country where the dating lab is located.	NO	NO
public		tbl_dating_labs	international_lab_id	Standardized identifier for the radiocarbon lab, as listed on radiocarbon.org/laboratories.	NO	NO
public		tbl_dating_labs	lab_name	Official name of the radiocarbon lab, standardized according to radiocarbon.org/laboratories.	NO	NO
public	Dating Lab	tbl_dating_labs		Contains identifiers and names of radiocarbon laboratories sourced from radiocarbon.org/laboratories. Ensures transparency and traceability in radiocarbon and other radiometric dating records.		
public		tbl_dating_labs	dating_lab_id	Primary key (automatically incremented).	YES	NO
public		tbl_dating_material	abundance_element_id	Specifies the abundance element related to the material.	NO	YES
public		tbl_dating_material	description	Detailed description of the dating material.	NO	NO
public	Dating Material	tbl_dating_material		Contains information about materials used for dating processes. Materials can be linked to a specific taxon, pseudotaxon, or described in the 'material_dated' field. Specific components of abundance, such as seeds or elytrons, can also be indicated. A single dating instance may involve multiple materials.		
public		tbl_dating_material	dating_material_id	Primary key (automatically incremented).	YES	NO
public		tbl_dating_material	geochron_id	Specifies the geochronological context of the dating material.	NO	YES
public		tbl_dating_material	material_dated	Text field describing the specific material that was dated.	NO	NO
public		tbl_dating_material	taxon_id	Specifies the taxonomic unit related to this record.	NO	YES
public	Dating Uncertainty	tbl_dating_uncertainty		Defines various types of dating uncertainties, such as 'from', 'to', 'circa (Ca.)', and '?'. These uncertainties help specify date ranges or approximate periods, such as 'from Mesolithic to Neolithic' or 'from AD 100 to AD 300'.		
public		tbl_dating_uncertainty	dating_uncertainty_id	Primary key (automatically incremented).	YES	NO
public		tbl_dating_uncertainty	description	A description of the type of dating uncertainty.	NO	NO
public		tbl_dating_uncertainty	uncertainty	A brief code or label showing the type of dating uncertainty, such as 'from', 'to', or 'Ca.'.	NO	NO
public		tbl_dimensions	dimension_abbrev	Abbreviation for the dimension type.	NO	NO
public		tbl_dimensions	dimension_description	Detailed description of the dimension.	NO	NO
public		tbl_dimensions	dimension_name	Name of the dimension type.	NO	NO
public		tbl_dimensions	method_group_id	Specifies the method group, limiting dimension application by group (e.g., size measurements, coordinate systems).	NO	YES
public	Dimension	tbl_dimensions		Contains definitions of various measurement types, such as sample weight and core length, categorized by method group.		
public		tbl_dimensions	dimension_id	Primary key (automatically incremented).	YES	NO
public		tbl_dimensions	unit_id	Specifies the unit of measurement used for the dimension.	NO	YES
public		tbl_ecocode_definitions	abbreviation	A short form or acronym representing the ecocode.	NO	NO
public		tbl_ecocode_definitions	definition	A detailed explanation of the ecocode category.	NO	NO
public		tbl_ecocode_definitions	ecocode_group_id	Specifies the ecocode group to which this definition belongs.	NO	YES
public		tbl_ecocode_definitions	name	The name of the ecocode category.	NO	NO
public		tbl_ecocode_definitions	notes	Additional information or comments about the ecocode.	NO	NO
public	Ecocode Definition	tbl_ecocode_definitions		Contains definitions for ecological, habitat, or ethnographic categories, which are linked to specific taxa within a defined classification system.		
public		tbl_ecocode_definitions	ecocode_definition_id	Primary key (automatically incremented).	YES	NO
public		tbl_ecocode_definitions	sort_order	Indicates the display order of ecocode definitions.	NO	NO
public		tbl_ecocode_groups	abbreviation	Shortened form of the ecocode group name for quick reference.	NO	NO
public	Ecocode Group	tbl_ecocode_groups		Represents a hierarchical classification system for taxon groups, allowing integration of diverse classification types such as habitat, food type, and food condition.		
public		tbl_ecocode_groups	ecocode_group_id	Primary key (automatically incremented).	YES	NO
public		tbl_ecocode_groups	definition	Detailed description of the ecocode group, outlining its characteristics and purpose.	NO	NO
public		tbl_ecocode_groups	ecocode_system_id	Specifies the ecocode system to which this group belongs.	NO	YES
public		tbl_ecocode_groups	name	Full name of the ecocode group.	NO	NO
